Disease,Diet
Fungal infection,"['Candida diet (low-sugar, low-refined carbs)', 'Non-starchy vegetables (e.g. spinach, kale)', 'Lean proteins (e.g. chicken, fish)', 'Healthy fats (e.g. avocado, olive oil, coconut oil)', 'Fermented foods/probiotics']"
Allergy,"['Elimination diet (identify and avoid triggers)', 'High-fiber fruits and vegetables', 'Pro- and prebiotic foods (e.g. yogurt, sauerkraut)', 'Anti-inflammatory foods (omega-3s, quercetin-rich produce)', 'Hydration and whole foods-based diet']"
GERD,"['Low-acid foods (e.g. oatmeal, bananas, melons)', 'Lean proteins', 'Avoid spicy/fatty foods', 'Smaller frequent meals', 'Elevate head during sleep']"
Chronic cholestasis,"['Low-fat diet', 'High-fiber whole grains and vegetables', 'Lean proteins', 'Antioxidant-rich fruits', 'Adequate hydration']"
Drug Reaction,"['Anti-inflammatory whole foods diet', 'Plenty of fruits and vegetables', 'Hydration', 'Lean proteins', 'Avoid processed foods']"
Peptic ulcer disease,"['Low-acid, high-fiber foods', 'Lean proteins (e.g. chicken, fish)', 'Avoid spicy and caffeine-rich foods', 'Increase ginger and licorice']"
AIDS,"['High-protein diet', 'Nutrient-dense whole foods', 'Fruits & vegetables', 'Healthy fats', 'Frequent small meals to maintain weight']"
Diabetes,"['Low-glycemic index foods', 'High-fiber fruits/vegetables', 'Lean proteins', 'Healthy fats', 'Whole grains']"
Gastroenteritis,"['Bland diet (e.g. bananas, rice, applesauce, toast)', 'Oral rehydration solutions', 'Small frequent meals', 'Avoid dairy and fatty foods']"
Bronchial Asthma,"['Anti-inflammatory foods', 'Omega-3 rich fats (e.g. fatty fish, flax)', 'Fruits & vegetables', 'Whole grains', 'Lean proteins']"
Hypertension,"['DASH diet (low-sodium)', 'Fruits & vegetables', 'Whole grains', 'Lean proteins', 'Low-fat dairy']"
Migraine,"['Hydration', 'Magnesium-rich foods (e.g. leafy greens)', 'Avoid high-tyramine and caffeine', 'Balanced meals, regular timing']"
Cervical spondylosis,"['Anti-inflammatory foods', 'Omega-3 rich — fish, flax', 'Whole grains', 'Fruits & vegetables', 'Lean proteins']"
Paralysis (brain hemorrhage),"['Heart-healthy diet', 'Low-sodium', 'Whole grains, fruits & vegetables', 'Lean proteins', 'Healthy fats']"
Jaundice,"['Liver-friendly — low-fat', 'Fruits & vegetables', 'Hydration', 'Lean proteins', 'Whole grains']"
Malaria,"['High-calorie, soft foods', 'Hydration', 'Easy to digest — e.g. bananas, broth', 'Small frequent meals']"
Chicken pox,"['High-calorie soft/comfort foods', 'Hydration', 'Protein-rich (e.g. smoothies)', 'Easily digestible foods']"
Dengue,"['High-calorie soft foods', 'Hydration (including oral rehydration)', 'Easy to digest', 'Protein-rich meals']"
Typhoid,"['High-calorie, soft bland foods', 'Hydration', 'Protein smoothies or soups', 'Frequent small meals']"
hepatitis A–E,"['Liver-healthy diet: low-fat', 'Fruits & vegetables', 'Whole grains', 'Hydration', 'Lean proteins']"
Alcoholic hepatitis,"['Low-fat, liver-supportive foods', 'Fruits & vegetables', 'Whole grains', 'Hydration', 'Lean proteins']"
Tuberculosis,"['High-calorie diet', 'Protein-rich foods', 'Soft & digestible foods', 'Hydration', 'Frequent small meals']"
Common Cold,"['Hydration', 'Warm fluids (e.g. tea, broth)', 'Fruits & vegetables', 'Light whole-food based diet']"
Pneumonia,"['High-calorie soft foods', 'Hydration', 'Protein-rich soups', 'Fruits & vegetables']"
Dimorphic hemmorhoids (piles),"['High-fiber diet', 'Hydration', 'Fruits & vegetables', 'Whole grains', 'Avoid constipating foods']"
Heart attack,"['Heart-healthy: low-sodium, whole grains', 'Fruits & vegetables', 'Lean proteins', 'Healthy fats']"
Varicose veins,"['High-fiber foods', 'Fruits & vegetables', 'Whole grains', 'Low-sodium', 'Healthy fats']"
Hypothyroidism,"['Iodine-rich (if needed)', 'Selenium-rich’, 'Whole grains', 'Fruits & vegetables', 'Lean proteins']"
Hyperthyroidism,"['Calcium-rich foods', 'Selenium-rich foods', 'Whole grains', 'Hydration', 'Avoid excess iodine']"
Hypoglycemia,"['Complex carbohydrates', 'Protein-rich snacks', 'High-fiber foods', 'Healthy fats']"
Osteoarthritis,"['Anti-inflammatory diet', 'Omega-3 rich foods', 'Fruits & vegetables', 'Whole grains', 'Lean proteins']"
Arthritis,"['Anti-inflammatory diet', 'Omega-3 rich foods', 'Fruits & vegetables', 'Whole grains', 'Lean proteins']"
(vertigo) Paroxysmal Positional Vertigo,"['Hydration', 'Ginger tea', 'Balanced meals', 'Avoid triggers', 'Vitamin D-rich foods if deficient']"
Acne,"['Low glycemic-load foods', 'Hydration', 'Fruits & vegetables', 'Omega-3 fats', 'Probiotics']"
Urinary tract infection,"['Hydration', 'Cranberry (juice or foods)', 'Probiotics', 'Vitamin C-rich foods']"
Psoriasis,"['Anti-inflammatory foods', 'Omega-3 fats', 'Fruits & vegetables', 'Whole grains', 'Lean proteins']"
Impetigo,"['Hydration', 'Protein-rich diet', 'Fruits & vegetables', 'Whole grains', 'Lean proteins']"
